Token,Frequency
de,120042
la,95031
que,90312
el,80866
no,80808
a,80279
en,63005
es,55405
un,45023
se,36976
tom,36494
los,33415
me,32734
y,31746
una,30791
por,29071
lo,27347
las,23179
con,23049
su,19697
para,18933
mi,18826
él,18784
está,17627
qué,17561
más,16859
te,16790
al,15461
le,15174
del,14753
ella,13784
si,9842
este,9757
yo,9716
tiene,9618
como,9473
muy,9421
esta,9187
son,8836
tu,8494
mary,8396
hay,8277
pero,8198
ha,8081
todo,7941
eso,7398
estoy,7229
fue,7129
tengo,7010
cuando,6898
ya,6691
casa,6419
estaba,6299
hacer,6129
todos,6110
nos,6056
aquí,5904
sus,5852
puede,5828
quiero,5766
mucho,5557
tiempo,5500
tan,5475
nada,5461
ser,5421
bien,5397
era,5288
he,5260
vez,5208
puedo,5136
algo,4924
esto,4892
solo,4804
gusta,4658
dos,4639
siempre,4622
cómo,4530
o,4513
hace,4451
ahora,4438
nunca,4398
ese,4295
sin,4288
soy,4120
día,4118
están,3979
ir,3949
favor,3941
sé,3860
mañana,3843
hoy,3791
mejor,3744
ellos,3724
vida,3671
va,3636
quién,3612
dónde,3586
años,3576
creo,3568
esa,3520
trabajo,3469
había,3459
dijo,3452
tú,3448
voy,3422
tienes,3382
verdad,3354
estás,3313
has,3295
sobre,3292
nadie,3266
dinero,3256
antes,3242
poco,3192
mis,3131
hablar,3023
hasta,3019
así,3014
mundo,2995
libro,2966
porque,2956
puedes,2929
ver,2908
ni,2873
tres,2801
parece,2790
usted,2778
eres,2775
mí,2721
hombre,2690
uno,2686
quiere,2676
gente,2646
sabe,2584
noche,2566
maría,2547
mismo,2535
todavía,2534
estar,2502
tenía,2484
cada,2477
padre,2454
demasiado,2452
tarde,2429
han,2417
también,2313
quieres,2292
les,2291
hecho,2266
desde,2255
hizo,2247
decir,2228
después,2218
días,2213
alguien,2186
agua,2169
todas,2165
ayer,2161
cosas,2160
menos,2146
tienen,2136
nosotros,2136
madre,2114
entre,2109
comer,2087
francés,2063
nuevo,2060
muchos,2041
haber,2032
coche,2013
personas,1992
hora,1991
inglés,1978
tus,1978
otra,1956
tanto,1955
tenemos,1925
sí,1905
quería,1887
perro,1875
ti,1849
veces,1834
año,1814
ciudad,1797
niños,1796
toda,1779
durante,1770
gran,1769
vas,1757
sólo,1753
otro,1748
cuál,1736
nuestro,1727
tener,1713
os,1706
estado,1690
semana,1688
pasado,1686
mujer,1680
país,1675
problema,1670
buen,1665
cuándo,1659
amigos,1652
muchas,1649
mal,1639
nuestra,1635
estamos,1630
aún,1625
buena,1611
debería,1607
dice,1604
amigo,1597
escuela,1588
tomás,1579
gustaría,1573
sea,1565
persona,1559
alguna,1556
casi,1548
sabes,1541
lugar,1539
niño,1539
fuera,1532
podría,1519
hacerlo,1506
allí,1501
nombre,1491
puerta,1483
visto,1470
momento,1464
donde,1452
habla,1450
vamos,1449
difícil,1449
cuenta,1440
bueno,1439
habitación,1434
necesito,1432
pronto,1431
cuánto,1416
dio,1413
hermano,1411
saber,1406
parte,1379
estos,1378
boston,1366
dios,1363
ustedes,1361
seguro,1347
comida,1337
pueden,1333
ahí,1323
sido,1306
sabía,1295
feliz,1293
grande,1285
vino,1282
deberías,1276
mientras,1273
café,1266
da,1265
libros,1252
comprar,1245
debe,1231
palabras,1229
quien,1224
hijo,1221
amor,1214
será,1206
idea,1204
unos,1198
estas,1193
leer,1192
dicho,1191
cinco,1188
miedo,1188
aprender,1184
padres,1173
conmigo,1172
gato,1165
clase,1164
nueva,1161
cosa,1161
realmente,1160
