Token,Frequency,POS,Observed_Verb_Forms
de,120048,ADP,
ser,98893,AUX,"es:55362, son:8830, fue:7131, era:5244, ser:5226, soy:4094, eres:2713, sea:1546, sido:1306, será:1206, fueron:1051, somos:958, fuera:894, sería:817, eran:766, siendo:464, sean:233, seas:172, serán:149, seré:124, éramos:114, fueran:95, fuese:93, seamos:60, serían:41, fuesen:8, sigamos:1"
la,95036,DET,
que,90317,SCONJ,
el,80868,DET,
no,80824,ADV,
a,80325,ADP,
en,63007,ADP,
estar,48211,AUX,"está:17626, estoy:7227, estaba:6299, están:3979, estás:3057, estar:2501, estamos:1630, estado:1263, estaban:1016, estuvo:686, esté:578, estará:405, estuve:360, estaré:315, estáis:315, estuviera:239, estaría:226, estén:108, estuvieron:99, estarán:77, estemos:43, estando:37, estaremos:35, estuviese:29, estuvieran:23, estarían:17, estéis:10, estuvimos:4, estarás:3, estan:2, estuviesen:1"
un,45026,DET,unían:2
haber,38017,AUX,"hay:8276, ha:8081, he:5259, había:3459, has:3280, han:2417, haber:2032, hemos:1023, haya:728, hubiera:716, habría:521, habrá:438, hubo:410, habéis:334, habían:327, habido:120, hubiese:101, hayan:82, habíamos:76, hubieran:47, habías:41, habrán:41, habrían:40, habiendo:38, hayamos:29, habré:28, habrás:23, hubiéramos:22, habríamos:13, habremos:7, hubiesen:5, hubieron:3"
se,36980,PRON,
tom,36497,VERB,"tom:30694, tomás:1"
los,33415,DET,
me,32738,PRON,
tener,32350,VERB,"tiene:9614, tengo:7010, tienes:3164, tenía:2484, tienen:2136, tenemos:1925, tener:1711, tuvo:861, tuve:637, tenido:497, tenga:384, tuvimos:244, tenían:243, tuviera:198, tendrá:198, tuvieron:196, tendremos:151, teníamos:135, tendría:122, teniendo:94, tengan:94, tengamos:79, tendrán:56, tuviese:28, tengáis:19, tuvieran:19, tenías:15, tendrían:13, tendríamos:12, tené:2, tuviesen:2, tiengo:1, tiendrá:1, tenidas:1, tieniendo:1, tenia:1"
y,31752,CCONJ,
una,30790,DET,
por,29073,ADP,
lo,27349,PRON,
poder,23678,AUX,"puede:5827, puedo:5134, puedes:2926, podría:1519, pueden:1333, podemos:1102, podía:928, poder:708, pudo:669, pueda:589, pude:454, pudiera:280, podéis:236, podido:213, puedas:191, podrá:175, podríamos:151, podrían:124, podré:122, puedan:122, podamos:117, pudimos:95, pudieron:84, podían:76, podremos:67, podrán:47, podíamos:45, pudieran:28, pudiese:16, podáis:9, pudiesen:5, pudiendo:3, podes:2"
las,23179,DET,
con,23050,ADP,
