lemma,avg_similarity_to_known,known_neighbour_count,total_degree,known_neighbour_score,degree_score,score
animal,0.7282239000002543,3,56,0.75,0.7368421052631579,0.7364803710527588
bulldog,0.7615892887115479,3,34,0.75,0.4473684210526316,0.6952683285663002
pet,0.7104137341181437,3,42,0.75,0.5526315789473685,0.6907331828485456
steer,0.5640144944190979,4,31,1.0,0.40789473684210525,0.6635861945779701
breed,0.5757687091827393,2,76,0.5,1.0,0.6378843545913697
calf,0.5045303404331207,4,32,1.0,0.42105263157894735,0.6364756965323499
beast,0.5418989360332489,2,65,0.5,0.8552631578947368,0.5920020995955718
wolf,0.6177836656570435,2,41,0.5,0.5394736842105263,0.566786569670627
paw,0.5187348127365112,2,49,0.5,0.6447368421052632,0.5383147747893082
creature,0.5423101186752319,1,66,0.25,0.868421052631579,0.5198392698639318
cameron,0.5679720640182495,2,31,0.5,0.40789473684210525,0.5155649793775459
raven,0.5303416848182678,1,59,0.25,0.7763157894736842,0.49543400030387075
pie,0.5499758720397949,1,55,0.25,0.7236842105263158,0.49472477812516064
wildlife,0.5506442785263062,1,52,0.25,0.6842105263157895,0.487164244526311
ape,0.5560181736946106,1,45,0.25,0.5921052631578947,0.47143013947888424
moscow,0.546048641204834,1,45,0.25,0.5921052631578947,0.46644537323399593
rat,0.5331407189369202,1,45,0.25,0.5921052631578947,0.459991412100039
companion,0.5474066734313965,1,34,0.25,0.4473684210526316,0.43817702092622457
tho,0.5307974815368652,1,33,0.25,0.4342105263157895,0.4272408460315905
oxford,0.527691125869751,1,31,0.25,0.40789473684210525,0.42042451030329653
liverpool,0.5166823863983154,1,30,0.25,0.39473684210526316,0.4122885616202104
tiger,0.5067213177680969,1,31,0.25,0.40789473684210525,0.4099396062524695
tom,0.5006752014160156,1,28,0.25,0.3684210526315789,0.3990218112343236
