source,target,weight
the,to,0.82827246
the,and,0.7941414
the,of,0.813936
the,a,0.7940126
the,in,0.7906852
the,i,0.821189
the,is,0.72129774
the,for,0.7018689
the,that,0.7083372
the,it,0.80929965
the,on,0.73269105
the,this,0.7202661
the,was,0.7233079
the,as,0.70073515
the,are,0.7479693
the,have,0.67896485
the,at,0.6677867
the,he,0.6697353
the,by,0.74055743
the,but,0.69898367
the,from,0.6683929
the,my,0.6787319
the,or,0.7289115
the,we,0.6845952
the,an,0.73101217
the,all,0.6646153
the,so,0.6975298
the,his,0.6622318
the,they,0.7627269
the,like,0.7138721
the,about,0.75802827
the,what,0.76083815
the,has,0.6722824
the,when,0.68428296
the,more,0.681048
the,do,0.6933373
the,were,0.7746018
the,who,0.65797246
the,had,0.6507323
the,their,0.73076653
the,there,0.67925686
the,which,0.81675136
the,been,0.66672933
the,people,0.6727158
the,how,0.65414906
the,also,0.7694918
the,them,0.77322876
the,other,0.6713847
the,its,0.79438376
the,than,0.7195395
the,him,0.66806346
the,know,0.7008054
the,see,0.7203131
the,any,0.66424865
the,then,0.6988593
the,these,0.66234463
the,because,0.7015645
the,well,0.6686213
the,said,0.69905555
the,way,0.6541134
the,1,0.72323394
the,2,0.6883286
the,most,0.67550343
the,very,0.7408306
the,even,0.7248738
the,right,0.6864113
the,too,0.686366
the,3,0.6973977
the,got,0.6580856
the,those,0.6602216
the,say,0.7501564
the,world,0.7205805
the,s,0.7482401
the,while,0.6639102
the,such,0.7596796
the,man,0.66752577
the,something,0.70430976
the,same,0.7262093
the,4,0.66536593
the,part,0.68169147
the,5,0.65307224
the,since,0.69045395
the,things,0.731104
the,during,0.6578122
the,thing,0.7008954
the,please,0.6765784
the,let,0.6748542
the,6,0.665887
the,however,0.6959629
the,care,0.6802547
the,times,0.6566626
the,7,0.6973671
the,told,0.67457485
the,including,0.7009874
the,far,0.7626102
the,though,0.7197211
the,says,0.75232494
the,d,0.6841905
the,following,0.7056685
the,whole,0.69596744
the,per,0.7395706
the,course,0.6603898
the,important,0.66835845
the,information,0.7108025
the,oh,0.7182841
the,t,0.7832827
the,ago,0.6542799
the,others,0.6760661
the,9,0.7072891
the,fact,0.711634
the,mind,0.6815923
the,known,0.7446902
the,m,0.7343552
the,research,0.70052063
the,else,0.6683267
the,john,0.66128516
the,saying,0.70336616
the,understand,0.6902745
the,yeah,0.6779433
the,comes,0.6501599
the,b,0.707929
the,human,0.67705786
the,question,0.6838498
the,r,0.6518959
the,ask,0.65190744
the,either,0.71024424
the,rather,0.69629365
the,report,0.70225835
the,whether,0.6753012
the,among,0.7211567
the,although,0.68932986
the,asked,0.6653532
the,quite,0.722571
the,according,0.8067683
the,e,0.7607306
the,former,0.65416837
the,example,0.65344244
the,main,0.7119043
the,moment,0.66101813
the,seems,0.6882958
the,de,0.8344605
the,re,0.8023003
the,goes,0.6947883
the,co,0.8164647
the,especially,0.68213224
the,w,0.786604
the,happened,0.67893696
the,x,0.667096
the,happen,0.6827633
the,l,0.7788075
the,answer,0.7505603
the,society,0.6908236
the,al,0.70426875
the,original,0.6912049
the,became,0.67625093
the,exactly,0.6541426
the,n,0.79109645
the,questions,0.6559839
the,stuff,0.65133226
the,p,0.7292895
the,o,0.76057684
the,review,0.6645819
the,upon,0.668121
the,various,0.6539251
the,led,0.76451147
the,u,0.8130691
the,involved,0.6784897
the,related,0.69655246
the,article,0.74997735
the,entire,0.6548267
the,met,0.7904544
the,considered,0.6855531
the,f,0.71568614
the,michael,0.6632576
the,seem,0.7191236
the,december,0.7024409
the,die,0.83807266
the,published,0.6740301
the,whose,0.68652266
the,earth,0.8141021
the,h,0.75112426
the,okay,0.6702919
the,sir,0.68019277
the,v,0.78583133
the,la,0.698326
the,ten,0.71105725
the,note,0.66648555
the,recent,0.6533008
the,etc,0.8038934
the,gives,0.65620965
the,included,0.664485
the,specific,0.7168969
the,y,0.80252075
the,ii,0.77922934
the,via,0.65829307
the,anti,0.6861339
the,described,0.6671347
the,g,0.7213417
the,interesting,0.7180164
the,j,0.7188997
the,particular,0.71414256
the,reported,0.6614893
the,consider,0.6767111
the,throughout,0.7109198
the,agree,0.6707636
the,san,0.7090354
